phylum,scientificname,OBIS_Min of depth,OBIS_Max of depth,Min of sst,Max of sst,Min of sss,Max of sss
Chordata,Chaunax suttkusi,175.5,175.5,15.76,15.76,33.94,33.94
Chordata,Chiasmodon niger,363,3417.5,14.62,18.62,33.64,35.26
Chordata,Chirostomias pliopterus,505.5,2500,16.09,19.79,34.37,35.67
Chordata,Chlorophthalmus agassizi,110,2673,10.6,18.45,31.92,35.2
Chordata,Citharichthys arctifrons,46.5,753.5,10.92,16.94,30.46,34.35
Chordata,Citharichthys spilopterus,49.5,61.5,12.13,12.68,31.98,32.45
Chordata,Clupea harengus,41,259.5,10.58,16.83,30.26,34.28
Chordata,Coccorella atlantica,205.5,3272,14.7,18.2,33.75,35.23
Chordata,Coelorinchus caelorhincus,240,1555,14.54,16.7,33.65,34.34
Chordata,Conger oceanicus,53,258,12.63,16.83,30.65,34.28
Chordata,Cookeolus japonicus,53.5,131.5,14.74,16.44,32.72,33.98
Chordata,Coryphaena hippurus,80,152,16.36,18.22,34.28,35.27
Chordata,Coryphaenoides armatus,753.5,2248.5,14.88,17.39,33.92,34.81
Chordata,Coryphaenoides brevibarbis,1176.5,1176.5,17.39,17.39,34.81,34.81
Chordata,Coryphaenoides carapinus,1176.5,2248.5,17.39,17.39,34.81,34.81
Chordata,Coryphaenoides mediterraneus,827.5,827.5,17.84,17.84,35.06,35.06
Chordata,Coryphaenoides rupestris,593,1511,13.53,18.01,33.25,35.12
Chordata,Cottunculus thomsonii,649,1371,13.53,18.01,33.25,35.12
Chordata,Cruriraja rugosa,505,1453,13.53,17.04,33.25,34.6
Chordata,Cryptacanthodes maculatus,52,203.5,11.59,13.5,32.24,32.77
Chordata,Cryptopsaras couesii,205.5,3417.5,14.45,18.4,33.6,35.23
Chordata,Cubiceps gracilis,404.5,404.5,16.29,16.29,34.37,34.37
Chordata,Cubiceps pauciradiatus,205.5,580,14.7,17.72,33.75,34.98
Chordata,Cyclopsetta fimbriata,80,80,14.79,14.79,33.03,33.03
Chordata,Cyclopterus lumpus,71.5,71.5,11.64,11.64,32.56,32.56
Chordata,Cyclothone braueri,250,500,11.35,11.92,32.04,32.28
Chordata,Cyclothone microdon,403.5,2111.5,14.88,18.31,33.92,35.25
Chordata,Cyclothone pseudopallida,500,500,11.92,11.92,32.28,32.28
Chordata,Cyema atrum,1102.5,1102.5,18.2,18.2,35.23,35.23
Chordata,Cynoscion regalis,50,143,12.57,16.46,30.26,34.04
Chordata,Cyttopsis rosea,240,240,16.11,16.11,33.92,33.92
Chordata,Dasyscopelus asper,3272,3272,18.2,18.2,35.23,35.23
Chordata,Dasyscopelus selenops,2184,3417.5,17.12,18.4,34.87,35.23
Chordata,Decapterus macarellus,50.5,1936,10.91,17.72,31.19,34.98
Chordata,Decapterus punctatus,50,1213,12.5,18.17,30.46,35.12
Chordata,Delphinus delphis,195,205,14.37,16.18,33.54,34.13
Chordata,Derichthys serpentinus,350,3321.5,14.15,18.72,33.45,35.31
Chordata,Dermochelys coriacea,187.5,2445,13.69,22.57,33.27,36.06
Chordata,Desmodema polystictum,680,3321.5,18.18,18.72,35.16,35.31
Chordata,Diaphus dumerilii,822,2328,15.55,18.18,34.09,35.16
Chordata,Diaphus effulgens,144,3008,16.46,18.58,34.2,35.19
Chordata,Diaphus lucidus,1260,2184,17.12,18.01,34.87,35.12
Chordata,Diastobranchus capensis,655,701,17.84,18.01,35.06,35.12
Chordata,Dibranchus atlanticus,319,595,15.19,16.71,33.94,34.45
Chordata,Dicrolene introniger,731,3255,15.19,19.65,34.08,35.6
Chordata,Diodon hystrix,2162,2162,18.45,18.45,35.2,35.2
Chordata,Diplacanthopoma brachysoma,1228,1228,17.19,17.19,34.59,34.59
Chordata,Diplophos taenia,251.5,3272,17.6,18.2,34.97,35.23
Chordata,Diplospinus multistriatus,1132.5,2169,15.19,18.01,34.08,35.12
Chordata,Dipturus laevis,38.5,584.5,10.52,16.83,31.28,34.28
Chordata,Diretmus argenteus,207,1541.5,15.55,18.17,34.09,35.11
Chordata,Dolicholagus longirostris,181,3417.5,17.3,18.4,34.77,35.25
Chordata,Echiostoma barbatum,350,2184,17.12,18.72,34.87,35.31
Chordata,Einara macrolepis,818,818,18.01,18.01,35.12,35.12
Chordata,Enchelyopus cimbrius,53,349.5,11.44,16.42,31.1,34.09
Chordata,Engraulis eurystole,45.5,96,10.82,12.72,31.19,32.59
Chordata,Epigonus denticulatus,69,69,17.9,17.9,35.07,35.07
Chordata,Epigonus pandionis,224,282,15.24,15.8,33.75,33.97
Chordata,Etmopterus gracilispinis,597,1153.5,15.17,17.72,33.86,34.98
Chordata,Etmopterus princeps,661.5,1158,16.32,17.84,34.33,35.06
Chordata,Etropus microstomus,46.5,237.5,11.05,16.7,30.46,34.23
Chordata,Etrumeus sadina,48.5,150,12.18,15.47,30.46,33.61
Chordata,Eurypharynx pelecanoides,363,3417.5,14.54,18.72,33.71,35.31
Chordata,Eustomias filifer,380,380,18.01,18.01,35.12,35.12
Chordata,Eustomias furcifer,796,796,18.01,18.01,35.12,35.12
Chordata,Eustomias obscurus,822,2841,17.84,18.18,35.06,35.16
Chordata,Eustomias schiffi,673.5,673.5,18.17,18.17,35.11,35.11
Chordata,Eustomias schmidti,739,1447.5,14.88,18.01,33.92,35.12
Chordata,Evermannella balbo,204,1000,17.3,17.72,34.77,34.98
Chordata,Evoxymetopon taeniatus,144,144,16.36,16.36,34.1,34.1
Chordata,Fenestraja plutonia,2024,2024,17.06,17.06,34.58,34.58
Chordata,Fistularia petimba,49,52.5,13.14,13.17,32.02,32.07
Chordata,Fistularia tabacaria,54,115,12.57,13.23,30.58,31.61
Chordata,Flagellostomias boureei,449.5,2280.5,15.55,17.95,34.09,35.12
Chordata,Foetorepus agassizii,72,313,14.38,16.94,33.05,34.35
Chordata,Fowlerichthys ocellatus,132.5,132.5,15.44,15.44,33.62,33.62
Chordata,Fowlerichthys radiosus,140.5,140.5,16.94,16.94,34.35,34.35
Chordata,Fritillaria borealis,40,500,10.78,13.74,31.99,33.33
Chordata,Gadella imberbis,41.5,331.5,15.76,16.71,33.83,34.45
Chordata,Gadus morhua,28.5,288,10.46,14.63,30.38,33.37
Chordata,Gaidropsarus ensis,768,1978,12.81,17.84,32.9,35.06
Chordata,Galeocerdo cuvier,170,2635,14.79,23.78,33.73,36.37
Chordata,Gigantactis ios,944,944,17.84,17.84,35.06,35.06
Chordata,Gigantura chuni,541,541,17.84,17.84,35.02,35.02
Chordata,Gigantura indica,700,700,18.17,18.17,35.11,35.11
Chordata,Glyptocephalus cynoglossus,51,1522,10.6,17.19,31.83,34.59
Chordata,Gonichthys cocco,2603.5,2603.5,18.58,18.58,35.19,35.19
Chordata,Gonostoma atlanticum,822,2076.5,17.84,17.84,35.06,35.06
Chordata,Grammatostomias flagellibarba,818,818,18.01,18.01,35.12,35.12
Chordata,Grampus griseus,225,675,14.33,17.12,33.51,34.67
Chordata,Gyrinomimus bruuni,700,700,16.64,16.64,34.5,34.5
Chordata,Halargyreus johnsonii,715.5,2265.5,16.32,18.18,34.33,35.16
Chordata,Halosauropsis macrochir,1011,2657,15.49,19.65,34.16,35.6
Chordata,Halosaurus guentheri,832,2012.5,16.34,17.84,34.31,35.06
Chordata,Harriotta raleighana,818,1639,14.37,16.34,33.54,34.33
Chordata,Helicolenus dactylopterus,80,1159,10.6,17.01,31.92,34.45
Chordata,Hemitripterus americanus,38.5,258.5,10.52,15.2,30.38,33.89
Chordata,Heterophotus ophistoma,700,700,18.17,18.17,35.11,35.11
Chordata,Heteropriacanthus cruentatus,58,58,12.37,12.37,32.61,32.61
Chordata,Himantolophus albinares,508,508,15.92,15.92,34.33,34.33
Chordata,Hippocampus erectus,51,2100,12.78,17.72,31.26,34.98
Chordata,Hippocampus reidi,1094.5,2543,15.66,18.18,34.11,35.16
Chordata,Hippoglossina oblonga,41,753.5,10.46,16.94,30.26,34.35
Chordata,Hippoglossoides platessoides,43.5,365.5,10.46,15.71,31.74,33.96
Chordata,Hippoglossus hippoglossus,48.5,1657,10.58,15.17,31.81,33.88
Chordata,Hoplostethus mediterraneus,250,279,15.26,16.36,33.75,34.1
Chordata,Hoplostethus occidentalis,121,121,15.87,15.87,33.83,33.83
Chordata,Howella brodiei,714,3008,16.09,19.79,34.37,35.67
Chordata,Hydrolagus affinis,593,2652,17.72,19.11,34.98,35.34
Chordata,Hydrolagus pallidus,1877,1877,16.75,16.75,34.57,34.57
Chordata,Hygophum benoiti,822,2841,17.72,18.18,34.98,35.16
Chordata,Hygophum hygomii,209,3417.5,17.84,18.4,35.06,35.19
Chordata,Hygophum reinhardtii,1260,2275.5,18.01,18.18,35.12,35.16
Chordata,Hypanus say,120,120,12.57,12.57,30.58,30.58
Chordata,Hyperoglyphe perciformis,2381.5,2381.5,18.01,18.01,35.12,35.12
Chordata,Ichthyococcus ovatus,500,3316.5,16.09,18.45,34.37,35.2
Chordata,Idiacanthus fasciola,1209.5,2280.5,17.09,18.18,34.76,35.16
Chordata,Ijimaia antillarum,183,183,16.29,16.29,34.01,34.01
Chordata,Ilyophis brunneus,731,3250,16.16,19.73,34.24,35.6
Chordata,Istiophorus albicans,1825,1825,21.91,21.91,36.08,36.08
Chordata,Isurus oxyrinchus,149,2400,12.81,22.9,32.9,36.37
Chordata,Isurus paucus,212.5,2100,14.18,22.19,33.52,36.09
Chordata,Kajikia albida,170,2100,13.21,23.12,33.13,36.16
Chordata,Kali indica,796,2328,18.01,18.01,35.12,35.12
Chordata,Kali macrodon,700,700,18.17,18.17,35.11,35.11
Chordata,Kali macrura,1104,1104,18.72,18.72,35.31,35.31
